Conference,Year,Number_Total_Papers,Number_Analyzed_Papers,,Total,Analyzed,%_Analyzed,Number_Security_Paper,%_Security_Paper,Number_Privacy_Paper,%_Privacy_Paper,Number_Both,%_Both,
S&P,2021,115,3,2.61%,449,10,0.0260869565217,1,0.3333333333333,2,0.6666666666667,0,0.0000000000000,1
S&P,2020,77,3,3.90%,,0.02227171492,0.0389610389610,0,0.0000000000000,2,0.6666666666667,1,0.3333333333333,1
S&P,2019,84,2,2.38%,,,0.0238095238095,2,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
S&P,2018,63,0,0.00%,,,0.0000000000000,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,1
S&P,2017,60,1,1.67%,,,0.0166666666667,1,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
S&P,2016,50,1,2.00%,,,0.0200000000000,1,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
NDSS,2021,90,4,4.44%,466,15,0.0444444444444,4,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
NDSS,2020,88,3,3.41%,,0.0321888412,0.0340909090909,2,0.6666666666667,1,0.3333333333333,0,0.0000000000000,1
NDSS,2019,89,2,2.25%,,,0.0224719101124,2,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
NDSS,2018,71,2,2.82%,,,0.0281690140845,2,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
NDSS,2017,68,1,1.47%,,,0.0147058823529,1,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
NDSS,2016,60,3,5.00%,,,0.0500000000000,2,0.6666666666667,1,0.3333333333333,0,0.0000000000000,1
CCS,2021,196,2,1.02%,888,28,0.0102040816327,2,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
CCS,2020,121,8,6.61%,,0.03153153153,0.0661157024793,8,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
CCS,2019,149,3,2.01%,,,0.0201342281879,3,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
CCS,2018,134,5,3.73%,,,0.0373134328358,5,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
CCS,2017,151,5,3.31%,,,0.0331125827815,5,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
CCS,2016,137,5,3.65%,,,0.0364963503650,4,0.8000000000000,1,0.2000000000000,0,0.0000000000000,1
Usenix,2021,176,4,2.27%,640,25,0.0227272727273,4,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
Usenix,2020,94,3,3.19%,,0.0390625,0.0319148936170,3,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
Usenix,2019,113,4,3.54%,,,0.0353982300885,2,0.5000000000000,1,0.2500000000000,1,0.2500000000000,1
Usenix,2018,100,6,6.00%,,,0.0600000000000,3,0.5000000000000,0,0.0000000000000,3,0.5000000000000,1
Usenix,2017,85,5,5.88%,,,0.0588235294118,3,0.6000000000000,0,0.0000000000000,2,0.4000000000000,1
Usenix,2016,72,3,4.17%,,,0.0416666666667,2,0.6666666666667,0,0.0000000000000,1,0.3333333333333,1
PETS,2021,82,1,1.22%,366,13,0.0121951219512,0,0.0000000000000,1,1.0000000000000,0,0.0000000000000,1
PETS,2020,78,5,6.41%,,0.03551912568,0.0641025641026,0,0.0000000000000,5,1.0000000000000,0,0.0000000000000,1
PETS,2019,67,2,2.99%,,,0.0298507462687,0,0.0000000000000,2,1.0000000000000,0,0.0000000000000,1
PETS,2018,36,1,2.78%,,,0.0277777777778,0,0.0000000000000,1,1.0000000000000,0,0.0000000000000,1
PETS,2017,52,3,5.77%,,,0.0576923076923,0,0.0000000000000,3,1.0000000000000,0,0.0000000000000,1
PETS,2016,51,1,1.96%,,,0.0196078431373,0,0.0000000000000,1,1.0000000000000,0,0.0000000000000,1
TheWebConf,2021,355,5,1.41%,1435,20,0.0140845070423,0,0.0000000000000,4,0.8000000000000,1,0.2000000000000,1
TheWebConf,2020,219,3,1.37%,,,0.0136986301370,0,0.0000000000000,3,1.0000000000000,0,0.0000000000000,1
TheWebConf,2019,412,2,0.49%,,0.01393728223,0.0048543689320,0,0.0000000000000,2,1.0000000000000,0,0.0000000000000,1
TheWebConf,2018,170,5,2.94%,,,0.0294117647059,3,0.6000000000000,0,0.0000000000000,2,0.4000000000000,1
TheWebConf,2017,164,4,2.44%,,,0.0243902439024,4,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
TheWebConf,2016,115,1,0.87%,,,0.0086956521739,0,0.0000000000000,1,1.0000000000000,0,0.0000000000000,1
IMC,2021,53,1,1.89%,278,6,0.0188679245283,1,1.0000000000000,0,0.0000000000000,0,0.0000000000000,1
IMC,2020,53,1,1.89%,,0.0215827338129,0.0188679245283,0,0.0000000000000,1,1.0000000000000,0,0.0000000000000,1
IMC,2019,39,1,2.56%,,,0.0256410256410,0,0.0000000000000,1,1.0000000000000,0,0.0000000000000,1
IMC,2018,43,0,0.00%,,,0.0000000000000,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,1
IMC,2017,42,2,4.76%,,,0.0476190476190,1,0.5000000000000,1,0.5000000000000,0,0.0000000000000,1
IMC,2016,48,1,2.08%,,,0.0208333333333,0,0.0000000000000,1,1.0000000000000,0,0.0000000000000,1
